epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,170.822,1.64134,0.89382,0.00578,0.71085,0.70203,0.72917,0.36136,1.8748,1.2229,0.008,0.000660045,0.000660045,0.000660045
43,174.502,1.67088,0.85525,0.0059,0.80895,0.63387,0.74704,0.39967,1.80597,1.18591,0.00724,0.000649046,0.000649046,0.000649046
44,178.221,1.60876,0.81229,0.00564,0.74292,0.63942,0.71348,0.35975,1.81354,1.18066,0.00738,0.000638047,0.000638047,0.000638047
45,181.932,1.62303,0.80997,0.00591,0.58346,0.69429,0.7131,0.37889,1.85253,1.24221,0.00762,0.000627048,0.000627048,0.000627048
46,185.597,1.60253,0.79909,0.0057,0.75058,0.58158,0.68074,0.37396,1.79805,1.21801,0.00727,0.000616049,0.000616049,0.000616049
47,189.262,1.61254,0.81614,0.00563,0.58943,0.76685,0.68556,0.38981,1.70738,1.14521,0.00705,0.000605051,0.000605051,0.000605051
48,193.003,1.5722,0.76781,0.00595,0.72638,0.62584,0.72495,0.37205,1.84963,1.27635,0.0074,0.000594052,0.000594052,0.000594052
49,196.689,1.57571,0.79609,0.00546,0.62954,0.6553,0.70137,0.39696,1.82108,1.15962,0.00707,0.000583053,0.000583053,0.000583053
50,200.399,1.55277,0.78465,0.00588,0.7668,0.63481,0.71136,0.40148,1.71262,1.23993,0.00714,0.000572054,0.000572054,0.000572054
51,204.14,1.59861,0.81699,0.00551,0.77051,0.68855,0.72838,0.40218,1.78158,1.12402,0.00726,0.000561055,0.000561055,0.000561055
52,207.854,1.50735,0.79468,0.00555,0.74656,0.65239,0.70318,0.39869,1.76936,1.20167,0.00778,0.000550056,0.000550056,0.000550056
53,211.502,1.50283,0.77287,0.0053,0.63435,0.73997,0.7442,0.40746,1.76739,1.13473,0.00746,0.000539057,0.000539057,0.000539057
54,215.19,1.48171,0.73229,0.00516,0.74424,0.66361,0.75915,0.41084,1.71942,1.0883,0.00713,0.000528058,0.000528058,0.000528058
55,218.898,1.53329,0.75877,0.0051,0.71339,0.73575,0.71603,0.39298,1.719,1.25696,0.00733,0.000517059,0.000517059,0.000517059
56,222.596,1.51952,0.73679,0.00526,0.725,0.64033,0.70022,0.37649,1.77512,1.19595,0.00774,0.00050606,0.00050606,0.00050606
57,226.288,1.49731,0.70312,0.00522,0.72838,0.59754,0.7276,0.40313,1.79583,1.15296,0.00729,0.000495062,0.000495062,0.000495062
58,230.027,1.49882,0.73295,0.00529,0.67245,0.68803,0.67142,0.38067,1.759,1.14506,0.00664,0.000484063,0.000484063,0.000484063
59,233.764,1.49163,0.72615,0.00522,0.66347,0.62817,0.69228,0.39728,1.75877,1.15286,0.00737,0.000473064,0.000473064,0.000473064
60,237.472,1.46209,0.72167,0.00528,0.76764,0.64066,0.71659,0.40616,1.8189,1.19251,0.00788,0.000462065,0.000462065,0.000462065
61,241.173,1.48479,0.71128,0.00492,0.67196,0.69564,0.69305,0.39955,1.80003,1.2448,0.00739,0.000451066,0.000451066,0.000451066
62,244.902,1.42929,0.65007,0.0051,0.72368,0.65035,0.6894,0.37862,1.80342,1.2776,0.00726,0.000440067,0.000440067,0.000440067
63,248.562,1.44764,0.6956,0.00513,0.69363,0.65726,0.70015,0.37776,1.79428,1.26625,0.00754,0.000429068,0.000429068,0.000429068
64,252.287,1.42429,0.67606,0.0047,0.72483,0.69012,0.7541,0.41121,1.72822,1.1023,0.00713,0.000418069,0.000418069,0.000418069
65,255.993,1.4103,0.64565,0.00485,0.63434,0.72867,0.71426,0.41343,1.71017,1.15448,0.00683,0.00040707,0.00040707,0.00040707
66,259.683,1.40354,0.62595,0.00465,0.74103,0.71219,0.75314,0.41549,1.80983,1.07448,0.0073,0.000396071,0.000396071,0.000396071
67,263.374,1.43775,0.6608,0.00491,0.75894,0.71616,0.76628,0.4147,1.79357,1.12413,0.00705,0.000385073,0.000385073,0.000385073
68,267.102,1.42457,0.65558,0.00512,0.73234,0.65881,0.73323,0.43305,1.75765,1.0152,0.00718,0.000374074,0.000374074,0.000374074
69,270.933,1.42559,0.65764,0.00501,0.65091,0.69169,0.72258,0.393,1.79778,1.20095,0.00749,0.000363075,0.000363075,0.000363075
70,274.634,1.38155,0.61104,0.00449,0.71537,0.65211,0.71371,0.4063,1.72983,1.1756,0.00741,0.000352076,0.000352076,0.000352076
71,278.322,1.36824,0.61371,0.0048,0.76266,0.66257,0.73089,0.40149,1.75823,1.25995,0.00709,0.000341077,0.000341077,0.000341077
72,282.029,1.38874,0.60103,0.00469,0.78904,0.69512,0.7522,0.41965,1.75273,1.14781,0.00709,0.000330078,0.000330078,0.000330078
73,285.722,1.34746,0.57728,0.00446,0.8301,0.65503,0.76878,0.41655,1.78424,1.21926,0.00713,0.000319079,0.000319079,0.000319079
74,289.411,1.33694,0.59389,0.00455,0.67972,0.74305,0.72242,0.40685,1.78109,1.15913,0.00698,0.00030808,0.00030808,0.00030808
75,293.115,1.32614,0.5872,0.00447,0.79994,0.66971,0.7353,0.40143,1.81003,1.20161,0.00708,0.000297081,0.000297081,0.000297081
76,296.883,1.34283,0.57521,0.00455,0.7741,0.68275,0.71474,0.39774,1.79301,1.25941,0.00733,0.000286083,0.000286083,0.000286083
77,300.608,1.31758,0.55248,0.00443,0.77465,0.66738,0.71917,0.398,1.81748,1.18206,0.0074,0.000275084,0.000275084,0.000275084
78,304.272,1.32486,0.58407,0.00438,0.76277,0.6794,0.73387,0.40788,1.79387,1.17743,0.00697,0.000264085,0.000264085,0.000264085
79,307.959,1.3063,0.54925,0.00432,0.80332,0.72529,0.76357,0.41631,1.82247,1.16381,0.00717,0.000253086,0.000253086,0.000253086
80,311.649,1.31082,0.56366,0.00439,0.78408,0.72573,0.73861,0.41746,1.77843,1.20191,0.00675,0.000242087,0.000242087,0.000242087
81,315.339,1.28816,0.55108,0.00437,0.81795,0.66562,0.76902,0.42719,1.8036,1.13172,0.00773,0.000231088,0.000231088,0.000231088
82,319.039,1.26716,0.5648,0.0042,0.79717,0.71887,0.75477,0.41832,1.81323,1.22687,0.00768,0.000220089,0.000220089,0.000220089
83,322.73,1.26373,0.53815,0.00437,0.86211,0.64526,0.75798,0.43081,1.81994,1.16396,0.00722,0.00020909,0.00020909,0.00020909
84,326.44,1.2649,0.53491,0.00427,0.77423,0.64882,0.72644,0.41517,1.7821,1.19625,0.00695,0.000198091,0.000198091,0.000198091
85,330.135,1.26693,0.55279,0.00438,0.80705,0.67803,0.74224,0.42087,1.79547,1.21177,0.00723,0.000187092,0.000187092,0.000187092
86,333.876,1.26337,0.54913,0.00442,0.82588,0.6538,0.74437,0.43028,1.80599,1.19388,0.00715,0.000176094,0.000176094,0.000176094
87,337.644,1.22812,0.53091,0.00429,0.79464,0.67161,0.76972,0.42594,1.78454,1.17935,0.00696,0.000165095,0.000165095,0.000165095
88,341.334,1.23494,0.53375,0.00413,0.73252,0.69498,0.76783,0.42591,1.78742,1.17029,0.00694,0.000154096,0.000154096,0.000154096
89,345.059,1.2492,0.52824,0.00421,0.71859,0.70257,0.76268,0.42032,1.8206,1.19283,0.00713,0.000143097,0.000143097,0.000143097
90,348.731,1.2547,0.54651,0.00424,0.71782,0.69993,0.75529,0.42325,1.78491,1.18148,0.00685,0.000132098,0.000132098,0.000132098
91,353.181,1.18446,0.45149,0.00485,0.75613,0.64704,0.73903,0.4047,1.80462,1.22361,0.00711,0.000121099,0.000121099,0.000121099
92,356.968,1.17493,0.47403,0.00518,0.77092,0.66507,0.73859,0.40089,1.80178,1.22609,0.00724,0.0001101,0.0001101,0.0001101
93,360.668,1.1474,0.48102,0.00495,0.81099,0.65261,0.73473,0.40752,1.82161,1.23417,0.00715,9.91012e-05,9.91012e-05,9.91012e-05
94,364.364,1.1476,0.44112,0.00471,0.80041,0.65345,0.73002,0.39982,1.83303,1.23566,0.00706,8.81023e-05,8.81023e-05,8.81023e-05
95,368.059,1.11512,0.44957,0.00451,0.76947,0.66909,0.72359,0.39697,1.80508,1.24233,0.00684,7.71034e-05,7.71034e-05,7.71034e-05
96,371.761,1.1205,0.45202,0.00465,0.76515,0.66085,0.72241,0.41032,1.76951,1.25306,0.00672,6.61045e-05,6.61045e-05,6.61045e-05
97,375.411,1.12205,0.44684,0.00458,0.80784,0.64247,0.72545,0.41435,1.77943,1.27557,0.00679,5.51056e-05,5.51056e-05,5.51056e-05
98,379.048,1.12074,0.44916,0.00448,0.77126,0.66462,0.72344,0.41078,1.78155,1.28045,0.00681,4.41067e-05,4.41067e-05,4.41067e-05
99,382.745,1.09259,0.44518,0.00459,0.7965,0.65304,0.74538,0.41359,1.78976,1.28501,0.00679,3.31078e-05,3.31078e-05,3.31078e-05
100,386.393,1.1103,0.44469,0.00456,0.82834,0.62858,0.7459,0.40725,1.79814,1.28328,0.00683,2.21089e-05,2.21089e-05,2.21089e-05
