epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,282.005,0.71858,0.38897,0.91178,0.99597,1,0.995,0.68752,1.07438,0.44751,0.99409,0.002931,0.000977,0.002931,0.000977,0.002931,0.000977,0.002931,0.000977
33,287.454,0.72235,0.37568,0.88106,0.99226,1,0.995,0.69603,1.07528,0.47184,0.99809,0.002832,0.000944,0.002832,0.000944,0.002832,0.000944,0.002832,0.000944
34,293.382,0.74296,0.37744,0.90333,0.99533,1,0.995,0.69583,1.08665,0.47404,1.00066,0.002733,0.000911,0.002733,0.000911,0.002733,0.000911,0.002733,0.000911
35,299.142,0.7717,0.3903,0.90243,0.99577,1,0.995,0.68089,1.08633,0.44471,0.99654,0.002634,0.000878,0.002634,0.000878,0.002634,0.000878,0.002634,0.000878
36,304.155,0.66394,0.35657,0.8747,0.99577,1,0.995,0.69242,1.09664,0.43017,1.00121,0.002535,0.000845,0.002535,0.000845,0.002535,0.000845,0.002535,0.000845
37,310.763,0.73917,0.37997,0.90078,0.9959,1,0.995,0.69359,1.09722,0.42744,0.99884,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812
38,316.779,0.68763,0.35834,0.87156,0.99613,1,0.995,0.71334,1.10952,0.41939,0.99531,0.002337,0.000779,0.002337,0.000779,0.002337,0.000779,0.002337,0.000779
39,323.25,0.69461,0.36759,0.87285,0.99636,1,0.995,0.746,1.09326,0.4125,0.98677,0.002238,0.000746,0.002238,0.000746,0.002238,0.000746,0.002238,0.000746
40,328.321,0.68672,0.36499,0.88561,0.99631,1,0.995,0.74527,1.0996,0.4237,0.97899,0.002139,0.000713,0.002139,0.000713,0.002139,0.000713,0.002139,0.000713
41,334.998,0.65797,0.35796,0.87496,0.99635,1,0.995,0.71851,1.1003,0.41895,0.98272,0.00204,0.00068,0.00204,0.00068,0.00204,0.00068,0.00204,0.00068
42,340.324,0.67168,0.36114,0.87372,0.9964,1,0.995,0.70641,1.11678,0.43107,0.99566,0.001941,0.000647,0.001941,0.000647,0.001941,0.000647,0.001941,0.000647
43,346.425,0.66387,0.36626,0.88129,0.99628,1,0.995,0.7221,1.0991,0.4221,0.98531,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614
44,351.518,0.65844,0.36177,0.88355,0.99635,1,0.995,0.71844,1.09765,0.42889,0.9907,0.001743,0.000581,0.001743,0.000581,0.001743,0.000581,0.001743,0.000581
45,357.44,0.63258,0.33543,0.863,0.99642,1,0.995,0.73198,1.07192,0.42615,0.98858,0.001644,0.000548,0.001644,0.000548,0.001644,0.000548,0.001644,0.000548
46,363.361,0.64427,0.35861,0.87817,0.99641,1,0.995,0.74406,1.06212,0.39655,0.97918,0.001545,0.000515,0.001545,0.000515,0.001545,0.000515,0.001545,0.000515
47,368.832,0.59038,0.31906,0.84007,0.99638,1,0.995,0.74258,1.05938,0.39094,0.9728,0.001446,0.000482,0.001446,0.000482,0.001446,0.000482,0.001446,0.000482
48,375.04,0.63581,0.3263,0.89287,0.9964,1,0.995,0.73553,1.05036,0.37971,0.96113,0.001347,0.000449,0.001347,0.000449,0.001347,0.000449,0.001347,0.000449
49,380.491,0.59921,0.33451,0.86041,0.99636,1,0.995,0.71984,1.06151,0.39261,0.96821,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416
50,386.727,0.61905,0.33893,0.85931,0.99637,1,0.995,0.72179,1.05215,0.38834,0.96649,0.001149,0.000383,0.001149,0.000383,0.001149,0.000383,0.001149,0.000383
51,431.061,0.61253,0.3074,0.85201,0.99634,1,0.995,0.73455,1.03515,0.3813,0.94803,0.00105,0.00035,0.00105,0.00035,0.00105,0.00035,0.00105,0.00035
52,449.565,0.55855,0.29488,0.84196,0.99634,1,0.995,0.73323,1.03464,0.3909,0.94082,0.000951,0.000317,0.000951,0.000317,0.000951,0.000317,0.000951,0.000317
53,460.02,0.59302,0.30164,0.83249,0.99382,1,0.995,0.71055,1.04243,0.38654,0.94552,0.000852,0.000284,0.000852,0.000284,0.000852,0.000284,0.000852,0.000284
54,470.549,0.55736,0.30324,0.82568,0.98727,1,0.995,0.707,1.05368,0.42509,0.96265,0.000753,0.000251,0.000753,0.000251,0.000753,0.000251,0.000753,0.000251
55,476.77,0.55131,0.29015,0.83527,0.98726,1,0.995,0.70608,1.05641,0.43416,0.97249,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218
56,483.058,0.53139,0.28701,0.82289,0.99566,1,0.995,0.70772,1.05204,0.41939,0.96791,0.000555,0.000185,0.000555,0.000185,0.000555,0.000185,0.000555,0.000185
57,489.77,0.54314,0.28936,0.83927,0.9956,1,0.995,0.71336,1.05095,0.42113,0.97202,0.000456,0.000152,0.000456,0.000152,0.000456,0.000152,0.000456,0.000152
58,495.321,0.52327,0.28247,0.83541,0.988,1,0.995,0.70781,1.05281,0.42369,0.97175,0.000357,0.000119,0.000357,0.000119,0.000357,0.000119,0.000357,0.000119
59,501.927,0.56442,0.28644,0.85634,0.99553,1,0.995,0.71817,1.0515,0.41708,0.97468,0.000258,8.6e-05,0.000258,8.6e-05,0.000258,8.6e-05,0.000258,8.6e-05
60,507.923,0.52905,0.28519,0.8259,0.98796,1,0.995,0.73178,1.05248,0.41828,0.97665,0.000159,5.3e-05,0.000159,5.3e-05,0.000159,5.3e-05,0.000159,5.3e-05
