epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,219.951,1.62273,0.88356,0.00559,0.86559,0.77963,0.88262,0.51722,1.50566,0.79548,0.00603,0.000660045,0.000660045,0.000660045
43,224.516,1.62596,0.87209,0.00586,0.78299,0.8121,0.85795,0.51814,1.5493,0.79264,0.0061,0.000649046,0.000649046,0.000649046
44,229.398,1.6145,0.85439,0.00549,0.80564,0.82646,0.87818,0.53421,1.46327,0.77074,0.00578,0.000638047,0.000638047,0.000638047
45,233.98,1.60647,0.82782,0.00562,0.81346,0.81559,0.87258,0.49752,1.57254,0.79802,0.00629,0.000627048,0.000627048,0.000627048
46,238.486,1.58627,0.87972,0.00562,0.82723,0.82214,0.89306,0.50093,1.55605,0.78963,0.00637,0.000616049,0.000616049,0.000616049
47,242.994,1.57413,0.8446,0.00564,0.89041,0.83149,0.90676,0.5203,1.56699,0.75281,0.00637,0.000605051,0.000605051,0.000605051
48,247.513,1.6157,0.87749,0.00553,0.85924,0.75782,0.86236,0.50326,1.52242,0.79534,0.00613,0.000594052,0.000594052,0.000594052
49,252.02,1.63623,0.85373,0.00578,0.83028,0.82467,0.90241,0.54872,1.4946,0.70993,0.0061,0.000583053,0.000583053,0.000583053
50,256.575,1.5483,0.81498,0.00542,0.80934,0.831,0.88142,0.54508,1.45256,0.75385,0.00564,0.000572054,0.000572054,0.000572054
51,261.319,1.56257,0.817,0.0052,0.82466,0.80591,0.90329,0.57405,1.40479,0.7358,0.00605,0.000561055,0.000561055,0.000561055
52,265.869,1.55391,0.81199,0.0055,0.82092,0.8359,0.89393,0.5559,1.4672,0.7119,0.00569,0.000550056,0.000550056,0.000550056
53,270.388,1.56894,0.78496,0.00542,0.79085,0.84276,0.8801,0.51384,1.52817,0.74874,0.00576,0.000539057,0.000539057,0.000539057
54,274.884,1.57727,0.77458,0.00521,0.84305,0.76876,0.88456,0.54057,1.49115,0.75136,0.00592,0.000528058,0.000528058,0.000528058
55,279.377,1.55853,0.79847,0.00515,0.81962,0.81285,0.89652,0.56681,1.40695,0.69286,0.00541,0.000517059,0.000517059,0.000517059
56,284.164,1.53129,0.7863,0.00539,0.80551,0.86011,0.90551,0.54895,1.45589,0.71184,0.0055,0.00050606,0.00050606,0.00050606
57,288.707,1.52114,0.74572,0.00513,0.83129,0.88018,0.90886,0.58493,1.36973,0.70362,0.00535,0.000495062,0.000495062,0.000495062
58,293.384,1.47726,0.73991,0.00514,0.83063,0.80855,0.88797,0.54699,1.46921,0.71134,0.00586,0.000484063,0.000484063,0.000484063
59,297.905,1.49361,0.72179,0.00506,0.84174,0.84321,0.89863,0.57299,1.37725,0.6855,0.00545,0.000473064,0.000473064,0.000473064
60,302.424,1.5049,0.72674,0.00488,0.86349,0.86711,0.92232,0.57587,1.36492,0.64586,0.00559,0.000462065,0.000462065,0.000462065
61,306.924,1.47727,0.7342,0.00488,0.88719,0.87044,0.93059,0.60098,1.36874,0.61433,0.00524,0.000451066,0.000451066,0.000451066
62,311.785,1.47677,0.71289,0.00483,0.86239,0.90142,0.93398,0.57969,1.35646,0.60826,0.00529,0.000440067,0.000440067,0.000440067
63,316.283,1.45611,0.71849,0.00473,0.85776,0.89664,0.93813,0.58948,1.35311,0.61,0.00519,0.000429068,0.000429068,0.000429068
64,320.837,1.48241,0.72553,0.00466,0.86502,0.83477,0.92365,0.59328,1.36879,0.635,0.00531,0.000418069,0.000418069,0.000418069
65,325.329,1.42018,0.70845,0.00488,0.91095,0.83519,0.93969,0.59353,1.33708,0.59385,0.00512,0.00040707,0.00040707,0.00040707
66,329.89,1.44013,0.71585,0.00477,0.88293,0.86202,0.94517,0.62382,1.33197,0.58972,0.00515,0.000396071,0.000396071,0.000396071
67,334.767,1.43868,0.68749,0.00477,0.87135,0.89087,0.94234,0.61,1.33211,0.60346,0.00522,0.000385073,0.000385073,0.000385073
68,339.299,1.42609,0.70143,0.00472,0.86796,0.91213,0.94089,0.62094,1.27252,0.57912,0.00489,0.000374074,0.000374074,0.000374074
69,343.817,1.41132,0.67209,0.00457,0.91601,0.9007,0.94525,0.63575,1.2467,0.5643,0.00468,0.000363075,0.000363075,0.000363075
70,348.405,1.42857,0.69378,0.00463,0.8996,0.8769,0.95003,0.61386,1.29648,0.55661,0.00487,0.000352076,0.000352076,0.000352076
71,352.902,1.3881,0.6433,0.00499,0.9164,0.9226,0.95383,0.64351,1.23053,0.54909,0.00475,0.000341077,0.000341077,0.000341077
72,357.775,1.36872,0.64341,0.00462,0.888,0.91132,0.94701,0.61235,1.27201,0.57393,0.00471,0.000330078,0.000330078,0.000330078
73,362.266,1.42661,0.67154,0.00444,0.91805,0.90797,0.94303,0.62866,1.2979,0.5493,0.00481,0.000319079,0.000319079,0.000319079
74,366.748,1.41628,0.63495,0.00477,0.90379,0.89777,0.95109,0.63387,1.22267,0.54594,0.00466,0.00030808,0.00030808,0.00030808
75,371.261,1.38511,0.64082,0.00466,0.91727,0.88138,0.95556,0.65365,1.21723,0.52381,0.0047,0.000297081,0.000297081,0.000297081
76,375.832,1.3572,0.61265,0.00442,0.91044,0.91537,0.95502,0.64286,1.2486,0.52881,0.00467,0.000286083,0.000286083,0.000286083
77,380.397,1.37125,0.62079,0.00451,0.92102,0.89694,0.95442,0.65629,1.20566,0.50462,0.00465,0.000275084,0.000275084,0.000275084
78,385.23,1.35601,0.64686,0.0047,0.89977,0.9102,0.95607,0.64956,1.20817,0.51318,0.00465,0.000264085,0.000264085,0.000264085
79,389.746,1.37358,0.61963,0.00438,0.8953,0.92214,0.94923,0.65027,1.21337,0.52885,0.00451,0.000253086,0.000253086,0.000253086
80,394.246,1.34404,0.63582,0.00445,0.85632,0.92427,0.95085,0.63062,1.21623,0.53626,0.00445,0.000242087,0.000242087,0.000242087
81,398.783,1.36541,0.5983,0.00434,0.90717,0.89632,0.95279,0.63419,1.22463,0.52362,0.00461,0.000231088,0.000231088,0.000231088
82,403.281,1.33072,0.58738,0.00442,0.9067,0.90032,0.95273,0.64142,1.22391,0.4979,0.0046,0.000220089,0.000220089,0.000220089
83,408.079,1.33493,0.62317,0.00456,0.92326,0.89284,0.96031,0.64329,1.21919,0.50716,0.00448,0.00020909,0.00020909,0.00020909
84,412.592,1.29607,0.61472,0.00424,0.88828,0.92748,0.957,0.66451,1.14609,0.47328,0.0043,0.000198091,0.000198091,0.000198091
85,417.202,1.31819,0.58892,0.0045,0.94514,0.87994,0.95342,0.65951,1.16843,0.46911,0.00436,0.000187092,0.000187092,0.000187092
86,421.713,1.34833,0.60741,0.00446,0.93338,0.88677,0.95605,0.67814,1.14227,0.47603,0.00432,0.000176094,0.000176094,0.000176094
87,426.312,1.29197,0.56772,0.00425,0.95395,0.88184,0.95718,0.65823,1.17254,0.47768,0.00439,0.000165095,0.000165095,0.000165095
88,431.134,1.30691,0.55829,0.00434,0.95041,0.90026,0.95986,0.67238,1.16435,0.46678,0.00432,0.000154096,0.000154096,0.000154096
89,435.693,1.29629,0.59496,0.00433,0.9164,0.91549,0.95685,0.6719,1.16485,0.49209,0.00436,0.000143097,0.000143097,0.000143097
90,440.2,1.28679,0.57855,0.00411,0.9509,0.88814,0.96099,0.66918,1.1748,0.46892,0.00432,0.000132098,0.000132098,0.000132098
91,447.788,1.243,0.51276,0.00532,0.93026,0.92733,0.96309,0.68726,1.15965,0.46357,0.0046,0.000121099,0.000121099,0.000121099
92,452.637,1.21022,0.49348,0.00499,0.95189,0.92247,0.96557,0.69138,1.12873,0.46354,0.00433,0.0001101,0.0001101,0.0001101
93,457.586,1.18916,0.48655,0.00484,0.93791,0.92577,0.9672,0.69207,1.11755,0.4637,0.00429,9.91012e-05,9.91012e-05,9.91012e-05
94,462.197,1.17809,0.49418,0.0048,0.9258,0.91914,0.96351,0.693,1.12211,0.45291,0.00425,8.81023e-05,8.81023e-05,8.81023e-05
95,466.767,1.19144,0.49225,0.00476,0.925,0.92695,0.96017,0.68713,1.13613,0.46061,0.00415,7.71034e-05,7.71034e-05,7.71034e-05
96,471.278,1.17765,0.46807,0.00471,0.93568,0.91908,0.96095,0.69004,1.12252,0.46852,0.00407,6.61045e-05,6.61045e-05,6.61045e-05
97,475.813,1.18189,0.47958,0.00473,0.93742,0.9039,0.95732,0.69221,1.11367,0.48552,0.00399,5.51056e-05,5.51056e-05,5.51056e-05
98,480.602,1.17842,0.47478,0.00464,0.94088,0.89963,0.95849,0.69321,1.10075,0.48343,0.00395,4.41067e-05,4.41067e-05,4.41067e-05
99,485.144,1.14655,0.47658,0.00454,0.90479,0.93145,0.95727,0.69293,1.09977,0.47142,0.00392,3.31078e-05,3.31078e-05,3.31078e-05
100,489.701,1.12964,0.46163,0.00438,0.91213,0.93308,0.96167,0.69606,1.10053,0.46326,0.00397,2.21089e-05,2.21089e-05,2.21089e-05
